module,type,name,res_id,src,value,comments
saas_portal,model,"mail.template,body_html",saas_portal.email_template_has_expired_notify,"

            <p>
            % if object.trial:
            Your trial service ${object.name} has expired
            % endif
            % if object.block_on_expiration:
            and blocked!
            % else:
            you have to pay in order to continue using the service!
            % endif
            </p>

            ","

            <p>
            % if object.trial:
            O seu serviço trial ${object.name} expirou.
            % endif
            % if object.block_on_expiration:
            e bloqueado!
            % else:
            Você deve pagar para continuar usando o serviço!
            % endif
            </p>

            ",
saas_portal,model,"mail.template,body_html",saas_portal.email_template_expiration_notify,"

            <p>
            Less than ${ctx[""days""]} day(s) left before expiration.
            </p>

            ","

            <p>
            Menos de ${ctx[""days""]} dia(s) antes da expiração.
            </p>

            ",
saas_portal,model,"mail.template,body_html",saas_portal.email_template_storage_exceed,"

            <p>
            Storage limit ${object.total_storage_limit} of ${object.name} has been exceeded.
            Contact your system administrator in order to resume using your service.
            </p>

            ","

            <p>
            O limite de armazenamento  ${object.total_storage_limit} de ${object.name} foi excedido.
            Entre em contato com o administrador do sistema para continuar usando seu serviço.
            </p>

            ",
saas_portal,model,"mail.template,body_html",saas_portal.email_template_create_saas,"

            <p>Web:
            <a href=""${object.public_url}"">${object.public_url}</a>
            </p>

            ","

            <p>Web:
            <a href=""${object.public_url}"">${object.public_url}</a>
            </p>

            ",
saas_portal,model,"mail.template,body_html",saas_portal.email_template_expiration_datetime_updated,"

            <p>You expiration date is now: ${object.expiration_datetime}</p>
            <p>${format_tz(object.expiration_datetime, tz=object.partner_id.tz, context={'lang':object.partner_id.lang})}</p>
            ","

            <p>A data de validade é agora: ${object.expiration_datetime}</p>
            <p>${format_tz(object.expiration_datetime, tz=object.partner_id.tz, context={'lang':object.partner_id.lang})}</p>
            ",
saas_portal,model,"ir.ui.view,arch_db",saas_portal.action_database_form,Access rights,Access rights,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_config_action,Action,Ação,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_active,Active,Ativo,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_server_active,Active,Ativo,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_edit_database_active_id,Active id,Active id,
